證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
030561,長榮統一11購01,"1,587,000",297,"7,420,320",4.52,4.96,4.10,4.95,+,0.21,4.86,3,4.99,1,136.50
030562,裕民統一0B購02,"68,000",4,"115,640",1.57,1.75,1.57,1.75,+,0.15,1.71,400,1.75,14,62.60
030563,華晶科統一0C購03,0,0,0,--,--,--,--, ,0.00,0.39,10,0.41,10,35.65
030564,華晶科統一11購01,0,0,0,--,--,--,--, ,0.00,0.40,30,0.42,10,35.65
030565,創意統一0C購01,"36,000",6,"20,400",0.58,0.58,0.54,0.56,+,0.02,0.55,10,0.58,108,415.00
030566,松翰統一0C購01,0,0,0,--,--,--,--, ,0.00,0.27,10,0.28,10,96.50
030567,惠特統一0C購02,"317,000",11,"82,780",0.26,0.38,0.26,0.38,X,0.00,0.24,10,0.26,10,178.50
030568,安普新統一0C購01,0,0,0,--,--,--,--, ,0.00,0.13,10,0.23,10,114.00
030569,台積電日盛12購01,0,0,0,--,--,--,--, ,0.00,0.69,25,0.72,10,606.00
030570,友達日盛0A購02,0,0,0,--,--,--,--, ,0.00,1.41,25,--,0,22.85
030571,彩晶日盛0C購01,"266,000",13,"1,221,360",4.58,4.66,4.52,4.63,+,0.47,5.10,3,5.75,3,22.15
030572,聯發科台新0A購01,"159,000",1,"101,760",0.64,0.64,0.64,0.64,-,0.06,0.66,10,0.68,10,0.00
030573,滬深2X富邦0C購01,"30,000",3,"31,900",1.06,1.07,1.06,1.07,X,0.00,1.10,10,1.11,10,26.50
030574,仁寶富邦0C購01,"493,000",18,"377,790",0.76,0.82,0.74,0.81,+,0.02,0.79,10,0.80,10,23.05
030575,國巨富邦0B購02,"312,000",38,"234,970",0.64,0.78,0.64,0.76,+,0.12,0.75,10,0.78,10,545.00
030576,宏達電富邦0A購01,"20,000",2,"26,800",1.29,1.39,1.29,1.39,-,0.23,1.49,10,2.62,2,40.60
